; primarily weapons,dmg,armor,food,qty,type
Puppy,4,12,14,1,%
Doggy,10,26,-5,1,%
Hyena,27,25,-2,2,%
Hound,21,11,3,1,%
Raven,14,16,9,1,%
Hippo,50,160,-6,2,%
Heron,12,8,13,2,%
Rhino,38,110,11,2,%
Whale,15,900,15,1,%
; primarily animal,dmg,armor,food,qty,type
Sheep,6,20,1,1,%
Shark,29,29,7,2,%
Golem,27,45,7,2,%
Gecko,7,11,6,2,%
Clown,6,45,12,2,%
Camel,37,67,-6,1,%
Zebra,26,55,19,2,%
Frog,1,9,1,1,%
Worm,1,1,14,1,%
Wolf,27,59,7,2,%
Goat,18,78,3,2,%
Puma,47,65,4,2,%
Gull,8,15,5,2,%
Hare,5,9,18,1,%
Dove,23,16,5,1,%
Boar,22,79,2,2,%
Mule,16,60,16,1,%
Bird,4,12,13,2,%
Sumo,16,80,-6,1,%
Swan,8,8,1,1,%
Bear,100,102,3,2,%
Deer,18,60,5,1,%
Lynx,25,50,7,1,%
Lion,87,150,7,1,%
Toad,2,2,2,1,%
Bee,5,7,1,2,%
Fox,15,25,3,2,%
Cow,16,80,2,1,%
Rat,5,3,7,2,%
Owl,12,9,6,2,%
Pup,6,9,14,2,%
; primarily animal,dmg,armor,food,qty,type
Dog,29,45,-6,1,%
Pug,18,24,-3,1,%
Cat,48,27,14,2,%
Pig,18,67,2,1,%
Hog,18,69,13,2,%
Elk,38,104,4,1,%
Caterpillar,1,0,34,1,#
